type,epoch,train_loss,train_acc,valid_acc,best_valid_acc,timestamp,total_training_time
train,1,330.8288076840639,51.33%,48.00%,48.00%,2024-12-10 20:42:12,22.912527799606323
train,2,316.7987068321165,52.67%,48.00%,48.00%,2024-12-10 20:42:26,36.41299486160278
train,3,314.5883984620017,54.00%,48.00%,48.00%,2024-12-10 20:42:39,49.42824101448059
train,4,313.40312172581156,54.44%,48.00%,48.00%,2024-12-10 20:42:51,61.845754623413086
train,5,312.49137642724105,54.44%,51.00%,51.00%,2024-12-10 20:43:04,74.28321814537048
train,6,311.61510026384394,53.33%,51.00%,51.00%,2024-12-10 20:43:17,87.93231177330017
train,7,310.64732113189655,55.78%,53.00%,53.00%,2024-12-10 20:43:30,100.36148309707642
train,8,309.53965874812735,57.33%,52.00%,53.00%,2024-12-10 20:43:43,113.16411590576172
train,9,308.22396562054,59.56%,53.00%,53.00%,2024-12-10 20:43:55,125.54347038269043
train,10,306.7713830146159,61.33%,53.00%,53.00%,2024-12-10 20:44:07,137.98086261749268
train,11,305.2216183673763,62.67%,55.00%,55.00%,2024-12-10 20:44:21,151.30852437019348
train,12,303.65341380970426,64.89%,55.00%,55.00%,2024-12-10 20:44:33,163.70010018348694
train,13,302.04644821116153,64.89%,54.00%,55.00%,2024-12-10 20:44:46,176.43684434890747
train,14,300.50310435983306,66.22%,58.00%,58.00%,2024-12-10 20:44:58,188.82453680038452
train,15,299.0588113609202,65.78%,59.00%,59.00%,2024-12-10 20:45:11,201.28018307685852
train,16,297.73517955865685,65.33%,59.00%,59.00%,2024-12-10 20:45:24,214.78511786460876
train,17,296.5353307568702,65.33%,58.00%,59.00%,2024-12-10 20:45:37,227.5556080341339
train,18,295.491884791054,66.44%,56.00%,59.00%,2024-12-10 20:45:49,239.9379186630249
train,19,294.62358847377396,65.78%,56.00%,59.00%,2024-12-10 20:46:02,252.339684009552
train,20,293.85164591783655,65.56%,58.00%,59.00%,2024-12-10 20:46:14,264.788045167923
